,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1496,CHEMBL488646,23000.0,nM,COc1cc(C2=C(c3cn(COC(C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,4.638272164,450.21547205999997,6,1,4.480300000000003,True
1497,CHEMBL551318,23000.0,nM,Cc1nnc2sc(SSc3nn4c(C)nnc4s3)nn12,4.638272164,341.9598261920001,12,0,2.1012399999999993,True
1498,CHEMBL550856,23000.0,nM,Sc1nn2c(Cc3ccccc3)nnc2s1,4.638272164,248.019038256,6,1,2.0652999999999997,True
1499,CHEMBL522011,23000.0,nM,CNc1nc2c(nc(-c3ccccc3)n2C)c2c1ncn2C,4.638272164,292.143644512,6,1,2.5637000000000008,True
1500,CHEMBL2163623,24000.0,nM,CCc1c(NC2CCCNC2)nc2ccnn2c1Nc1ccc(F)c(Cl)c1,4.619788758,388.157850604,6,3,3.9917000000000025,True
1501,CHEMBL557237,24000.0,nM,CCSc1nn2c(Cc3ccccc3)nnc2s1,4.619788758,276.050338384,6,0,2.888600000000001,True
1502,CHEMBL99699,24000.0,nM,CC(C)c1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1,4.619788758,421.24777523200004,7,3,4.388500000000002,True
1503,CHEMBL563674,24000.0,nM,S=c1[nH]c(=S)c2c(Cc3nn4c(Cc5ccccc5)nnc4s3)n[nH]c2[nH]1,4.619788758,412.0347053840001,8,3,3.358880000000001,True
1504,CHEMBL550855,24000.0,nM,Cc1nnc2sc(Cc3n[nH]c4[nH]c(=S)[nH]c(=S)c34)nn12,4.619788758,336.00340525600006,8,3,2.0765,True
1505,CHEMBL557238,24000.0,nM,CCSc1nn2c(COc3ccc(Cl)cc3)nnc2s1,4.619788758,326.00628065200004,7,0,3.5302000000000016,True
1506,CHEMBL316887,25000.0,nM,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3[N+](=O)[O-])ncn2)cc1,4.602059991,424.185903248,9,3,3.173300000000001,True
1507,CHEMBL604748,25000.0,nM,COc1cc(O)cc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,4.602059991,357.048466312,7,2,3.042300000000002,True
1508,CHEMBL3797559,25000.0,nM,Nc1ncccc1-c1nc2ccccc2[nH]1,4.602059991,210.09054632,3,2,2.2071,True
1509,CHEMBL2163608,25000.0,nM,Cc1nc2ccc(Nc3c(C)c(N[C@H]4CCCNC4)nc4ccnn34)cc2s1,4.602059991,393.17356473600006,8,3,3.8633400000000018,True
1510,CHEMBL600828,25000.0,nM,COc1c(O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,4.602059991,357.048466312,7,2,3.042300000000002,True
1511,CHEMBL203006,26000.0,nM,Brc1cccc(-c2cc(NCc3ccncc3)n3ncnc3n2)c1,4.585026652,380.0385065160001,6,1,3.560900000000002,True
1512,CHEMBL2062563,26000.0,nM,CC(=O)Nc1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,4.585026652,371.14945816400007,7,2,3.077580000000001,True
1513,CHEMBL99687,26000.0,nM,Cc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1,4.585026652,393.21647510400004,7,3,3.573520000000002,True
1514,CHEMBL1087650,26400.0,nM,CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1,4.578396073,474.21680945200006,7,1,4.723600000000005,True
1515,CHEMBL483535,26500.0,nM,N#Cc1ccc2c(c1)/C(=C/Nc1ccc(CN3CCCCC3)cc1)C(=O)NC2=O,4.576754126,386.174275944,5,2,3.2671800000000006,True
1517,CHEMBL1806525,27000.0,nM,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(C#N)c(-c2cnc3ccccn23)n1,4.568636236,468.2022220080001,9,1,3.083680000000001,True
1518,CHEMBL2163611,27000.0,nM,Cc1c(N[C@H]2CCCNC2)nc2ccnn2c1Nc1ccc2c(cnn2C)c1,4.568636236,376.21239276800003,8,3,2.831920000000001,True
1519,CHEMBL232148,27000.0,nM,NS(=O)(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)cc1,4.568636236,350.00311342,6,2,1.9179000000000002,True
1520,CHEMBL100811,28000.0,nM,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Br)ncn2)cc1,4.552841969,457.11133710800004,7,3,4.027600000000002,True
1521,CHEMBL495758,28000.0,nM,c1ccc2[nH]c(-c3cc[nH]n3)nc2c1,4.552841969,184.074896256,2,2,1.9529999999999994,True
1522,CHEMBL2348176,28500.0,nM,Nc1nccc(-n2ccc3ccccc32)n1,4.54515514,210.09054632,4,1,2.0027,True
1523,CHEMBL573578,29000.0,nM,CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21,4.537602002,331.1796956720001,5,1,3.9075000000000024,True
1525,CHEMBL603494,30000.0,nM,O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1ccc(O)cc13)OCO2,4.522878745,327.037901628,6,2,3.0337000000000014,True
1526,CHEMBL454973,31000.0,nM,CNc1nc2sc(-c3cccc(CNC(C)=O)c3)nc2c2c1ncn2C,4.508638306,366.12628019600004,7,2,2.9228000000000005,True
1527,CHEMBL491064,32000.0,nM,Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2cc(C3CC3)ccc21,4.494850022,382.131742436,4,1,4.369100000000003,True
1528,CHEMBL2163624,33000.0,nM,Cc1c(NC2CCCNC2)nc2ccnn2c1Nc1ccc(F)c(Cl)c1,4.48148606,374.14220054,6,3,3.7377200000000013,True
1529,CHEMBL269538,33000.0,nM,COc1ccc2c(c1)[nH]c1c(C)nccc12,4.48148606,212.094963004,2,1,3.033120000000001,True
1530,CHEMBL3421636,33215.0,nM,CN1CCN(c2ccc(Nc3cc(-c4c[nH]c5ccccc45)ncn3)cc2)CC1,4.478665743,384.20624476800003,5,2,4.120300000000002,True
1531,CHEMBL2348175,34000.0,nM,Nc1nccc(-n2ccc3ccc(F)cc32)n1,4.468521083,228.081124508,4,1,2.1418,True
1532,CHEMBL102047,34000.0,nM,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3)n2)cc1,4.468521083,379.20082504000004,7,3,3.2651000000000012,True
1533,CHEMBL101557,35000.0,nM,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(C(F)(F)F)ccc3F)ncn2)cc1,4.455931956,465.17878785600004,7,3,4.423000000000003,True
1534,CHEMBL101052,36000.0,nM,COc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1,4.443697499,409.21138972400007,8,3,3.2737000000000016,True
1535,CHEMBL3736216,36000.0,nM,COc1ccc2[nH]nc(C(=O)NCC3CCN(CCc4ccc(O)cc4)CC3)c2c1,4.443697499,408.21614075599996,5,3,2.9616000000000016,True
1536,CHEMBL4462126,37000.0,nM,CC(C1CC1)n1cnc2c(NCc3cccc(C(F)(F)F)c3)nc(NCCN(C)C)nc21,4.431798276,447.2358285560001,7,2,4.4017000000000035,True
1537,CHEMBL563733,37000.0,nM,S=c1[nH]c(=S)c2c(Cc3nn4c(COc5ccc(Cl)cc5)nnc4s3)n[nH]c2[nH]1,4.431798276,461.9906476520001,9,3,4.000480000000001,True
1538,CHEMBL2346665,38000.0,nM,Nc1nccc(-n2ccc3cnc(Cl)cc32)n1,4.420216403,245.04682293599998,5,1,2.0511,True
1539,CHEMBL101558,38000.0,nM,CN(C)CC(O)COc1ccc(Nc2cc(Nc3c(F)cccc3F)ncn2)cc1,4.420216403,415.18198141600004,7,3,3.5433000000000012,True
1540,CHEMBL3421979,38379.0,nM,Cc1nccc(-c2c[nH]c3cnccc23)n1,4.415906345,210.09054632,3,1,2.3283200000000006,True
1541,CHEMBL1952030,39000.0,nM,COc1cc[nH]c1/C=C1\C(=O)Nc2ccc([N+](=O)[O-])cc21,4.408935393,285.07495583200006,4,2,2.4242,True
1542,CHEMBL2348180,39000.0,nM,N#Cc1ccc2ccn(-c3ccnc(N)c3)c2c1,4.408935393,234.09054632,4,1,2.47938,True
1543,CHEMBL418793,39000.0,nM,Cc1ccccc1Nc1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1,4.408935393,393.2164751040001,7,3,3.573520000000001,True
1544,CHEMBL486487,39800.0,nM,CN(C)C(=O)c1ccc2c(c1)/C(=C/Nc1ccc(CN3CCCCC3)cc1)C(=O)NC2=O,4.400116928,432.21614075599996,5,2,3.0973000000000015,True
1545,CHEMBL50,40000.0,nM,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.397940009,302.04265266,7,5,1.988,True
1546,CHEMBL323015,40400.0,nM,Cc1cc(C)nc(Sc2cc(=O)c3c(O)cc(O)c(C4CCN(C)CC4O)c3o2)n1,4.393618635,429.135841836,9,3,2.542240000000001,True
1547,CHEMBL3943841,41410.0,nM,CN(C)C1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1,4.382894769,474.285557708,8,2,3.5031000000000025,True
1548,CHEMBL490251,41500.0,nM,O=C1NC(=O)c2ccc(I)cc2/C1=C/NCc1ccn(-c2ccccc2)c(=O)c1,4.381951903,497.023639372,5,2,2.8428000000000004,True
1549,CHEMBL2348170,42000.0,nM,Nc1nccc(-n2ccc3cccnc32)n1,4.37675071,211.08579528799999,5,1,1.3977,True
